Species,Category,Species
PE P-16:0/22:2,Phosphatidylethaolamine plasmalogen,PE.P.16.0.22.2
PE P-16:0/22:4,Phosphatidylethaolamine plasmalogen,PE.P.16.0.22.4
PE P-16:0/22:5,Phosphatidylethaolamine plasmalogen,PE.P.16.0.22.5
PE P-16:0/22:6,Phosphatidylethaolamine plasmalogen,PE.P.16.0.22.6
PE P-16:1/18:1,Phosphatidylethaolamine plasmalogen,PE.P.16.1.18.1
PE P-18:0/16:0,Phosphatidylethaolamine plasmalogen,PE.P.18.0.16.0
PE P-18:0/16:1,Phosphatidylethaolamine plasmalogen,PE.P.18.0.16.1
PE P-18:0/18:0,Phosphatidylethaolamine plasmalogen,PE.P.18.0.18.0
PE P-18:0/18:1,Phosphatidylethaolamine plasmalogen,PE.P.18.0.18.1
PE P-18:0/18:2,Phosphatidylethaolamine plasmalogen,PE.P.18.0.18.2
PE P-18:0/18:3,Phosphatidylethaolamine plasmalogen,PE.P.18.0.18.3
PE P-18:0/18:4,Phosphatidylethaolamine plasmalogen,PE.P.18.0.18.4
PE P-18:0/20:1,Phosphatidylethaolamine plasmalogen,PE.P.18.0.20.1
PE P-18:0/20:2,Phosphatidylethaolamine plasmalogen,PE.P.18.0.20.2
PE P-18:0/20:3,Phosphatidylethaolamine plasmalogen,PE.P.18.0.20.3
PE P-18:0/20:4,Phosphatidylethaolamine plasmalogen,PE.P.18.0.20.4
PE P-18:0/20:5,Phosphatidylethaolamine plasmalogen,PE.P.18.0.20.5
PE P-18:0/22:1,Phosphatidylethaolamine plasmalogen,PE.P.18.0.22.1
PE P-18:0/22:2,Phosphatidylethaolamine plasmalogen,PE.P.18.0.22.2
PE P-18:0/22:4,Phosphatidylethaolamine plasmalogen,PE.P.18.0.22.4
PE P-18:0/22:5,Phosphatidylethaolamine plasmalogen,PE.P.18.0.22.5
PE P-18:0/22:6,Phosphatidylethaolamine plasmalogen,PE.P.18.0.22.6
PE P-18:1/16:0,Phosphatidylethaolamine plasmalogen,PE.P.18.1.16.0
PE P-18:1/16:1,Phosphatidylethaolamine plasmalogen,PE.P.18.1.16.1
PE P-18:1/18:0,Phosphatidylethaolamine plasmalogen,PE.P.18.1.18.0
PE P-18:1/18:1,Phosphatidylethaolamine plasmalogen,PE.P.18.1.18.1
PE P-18:1/18:2,Phosphatidylethaolamine plasmalogen,PE.P.18.1.18.2
PE P-18:1/18:3,Phosphatidylethaolamine plasmalogen,PE.P.18.1.18.3
PE P-18:1/18:4,Phosphatidylethaolamine plasmalogen,PE.P.18.1.18.4
PE P-18:1/20:1,Phosphatidylethaolamine plasmalogen,PE.P.18.1.20.1
PE P-18:1/20:2,Phosphatidylethaolamine plasmalogen,PE.P.18.1.20.2
PE P-18:1/20:3,Phosphatidylethaolamine plasmalogen,PE.P.18.1.20.3
PE P-18:1/20:4,Phosphatidylethaolamine plasmalogen,PE.P.18.1.20.4
PE P-18:1/20:5,Phosphatidylethaolamine plasmalogen,PE.P.18.1.20.5
PE P-18:1/22:2,Phosphatidylethaolamine plasmalogen,PE.P.18.1.22.2
PE P-18:1/22:4,Phosphatidylethaolamine plasmalogen,PE.P.18.1.22.4
PE P-18:1/22:5,Phosphatidylethaolamine plasmalogen,PE.P.18.1.22.5
PE P-18:1/22:6,Phosphatidylethaolamine plasmalogen,PE.P.18.1.22.6
PE P-18:2/22:6,Phosphatidylethaolamine plasmalogen,PE.P.18.2.22.6
PG 14:0_16:0,Phosphatidylglycerol,PG.14.0_16.0
PG 14:0_17:0,Phosphatidylglycerol,PG.14.0_17.0
PG 14:0_18:1,Phosphatidylglycerol,PG.14.0_18.1
PG 14:0_20:1,Phosphatidylglycerol,PG.14.0_20.1
PG 14:0_22:5,Phosphatidylglycerol,PG.14.0_22.5
PG 15:0_18:1,Phosphatidylglycerol,PG.15.0_18.1
PG 15:0_22:6,Phosphatidylglycerol,PG.15.0_22.6
PG 16:0_16:0,Phosphatidylglycerol,PG.16.0_16.0
PG 16:0_16:1,Phosphatidylglycerol,PG.16.0_16.1
PG 16:0_17:0,Phosphatidylglycerol,PG.16.0_17.0
PG 16:0_18:0,Phosphatidylglycerol,PG.16.0_18.0
PG 16:0_18:1,Phosphatidylglycerol,PG.16.0_18.1
PG 16:0_18:2,Phosphatidylglycerol,PG.16.0_18.2
PG 16:0_18:3,Phosphatidylglycerol,PG.16.0_18.3
PG 16:0_20:1,Phosphatidylglycerol,PG.16.0_20.1
PG 16:0_20:2,Phosphatidylglycerol,PG.16.0_20.2
PG 16:0_20:3,Phosphatidylglycerol,PG.16.0_20.3
PG 16:0_20:4,Phosphatidylglycerol,PG.16.0_20.4
PG 16:0_20:5,Phosphatidylglycerol,PG.16.0_20.5
PG 16:0_22:5,Phosphatidylglycerol,PG.16.0_22.5
PG 16:0_22:6,Phosphatidylglycerol,PG.16.0_22.6
PG 16:1_17:0,Phosphatidylglycerol,PG.16.1_17.0
PG 16:1_18:0,Phosphatidylglycerol,PG.16.1_18.0
PG 16:1_18:1,Phosphatidylglycerol,PG.16.1_18.1
PG 16:1_18:2,Phosphatidylglycerol,PG.16.1_18.2
PG 16:1_20:0,Phosphatidylglycerol,PG.16.1_20.0
PG 17:0_18:0,Phosphatidylglycerol,PG.17.0_18.0
PG 17:0_18:1,Phosphatidylglycerol,PG.17.0_18.1
PG 17:0_18:2,Phosphatidylglycerol,PG.17.0_18.2
PG 17:0_20:0,Phosphatidylglycerol,PG.17.0_20.0
PG 17:0_20:1,Phosphatidylglycerol,PG.17.0_20.1
PG 17:0_20:2,Phosphatidylglycerol,PG.17.0_20.2
PG 17:0_20:3,Phosphatidylglycerol,PG.17.0_20.3
PG 17:0_22:1,Phosphatidylglycerol,PG.17.0_22.1
PG 17:0_22:2,Phosphatidylglycerol,PG.17.0_22.2
PG 17:0_22:5,Phosphatidylglycerol,PG.17.0_22.5
PG 17:0_22:6,Phosphatidylglycerol,PG.17.0_22.6
PG 18:0_18:0,Phosphatidylglycerol,PG.18.0_18.0
PG 18:0_18:1,Phosphatidylglycerol,PG.18.0_18.1
PG 18:0_20:0,Phosphatidylglycerol,PG.18.0_20.0
PG 18:0_20:1,Phosphatidylglycerol,PG.18.0_20.1
PG 18:0_20:2,Phosphatidylglycerol,PG.18.0_20.2
PG 18:0_20:3,Phosphatidylglycerol,PG.18.0_20.3
PG 18:0_20:4,Phosphatidylglycerol,PG.18.0_20.4
PG 18:0_20:5,Phosphatidylglycerol,PG.18.0_20.5
PG 18:0_22:6,Phosphatidylglycerol,PG.18.0_22.6
PG 18:1_18:1,Phosphatidylglycerol,PG.18.1_18.1
PG 18:1_18:2,Phosphatidylglycerol,PG.18.1_18.2
PG 18:1_18:3,Phosphatidylglycerol,PG.18.1_18.3
PG 18:1_20:0,Phosphatidylglycerol,PG.18.1_20.0
PG 18:1_20:1,Phosphatidylglycerol,PG.18.1_20.1
PG 18:1_20:2,Phosphatidylglycerol,PG.18.1_20.2
PG 18:1_20:3,Phosphatidylglycerol,PG.18.1_20.3
PG 18:1_20:4,Phosphatidylglycerol,PG.18.1_20.4
PG 18:1_20:5,Phosphatidylglycerol,PG.18.1_20.5
PG 18:1_22:4,Phosphatidylglycerol,PG.18.1_22.4
PG 18:1_22:5,Phosphatidylglycerol,PG.18.1_22.5
PG 18:1_22:6,Phosphatidylglycerol,PG.18.1_22.6
PG 18:2_18:2,Phosphatidylglycerol,PG.18.2_18.2
PG 18:2_18:3,Phosphatidylglycerol,PG.18.2_18.3
PG 18:2_20:1,Phosphatidylglycerol,PG.18.2_20.1
PG 18:2_20:2,Phosphatidylglycerol,PG.18.2_20.2
PG 18:2_20:3,Phosphatidylglycerol,PG.18.2_20.3
PG 18:2_20:4,Phosphatidylglycerol,PG.18.2_20.4
PG 18:2_20:5,Phosphatidylglycerol,PG.18.2_20.5
PG 18:2_22:4,Phosphatidylglycerol,PG.18.2_22.4
PG 18:2_22:5,Phosphatidylglycerol,PG.18.2_22.5
PG 18:2_22:6,Phosphatidylglycerol,PG.18.2_22.6
PG 20:0_20:1,Phosphatidylglycerol,PG.20.0_20.1
PG 20:0_20:2,Phosphatidylglycerol,PG.20.0_20.2
PG 20:0_20:4,Phosphatidylglycerol,PG.20.0_20.4
PG 20:0_20:5,Phosphatidylglycerol,PG.20.0_20.5
PG 20:0_22:4,Phosphatidylglycerol,PG.20.0_22.4
PG 20:0_22:5,Phosphatidylglycerol,PG.20.0_22.5
PG 20:0_22:6,Phosphatidylglycerol,PG.20.0_22.6
PI 14:0_14:0,Phosphatidylinositol,PI.14.0_14.0
PI 14:0_15:0,Phosphatidylinositol,PI.14.0_15.0
PI 14:0_16:0,Phosphatidylinositol,PI.14.0_16.0
PI 14:0_17:0,Phosphatidylinositol,PI.14.0_17.0
PI 14:0_18:0,Phosphatidylinositol,PI.14.0_18.0
PI 14:0_18:1,Phosphatidylinositol,PI.14.0_18.1
PI 14:0_18:2,Phosphatidylinositol,PI.14.0_18.2
PI 14:0_18:3,Phosphatidylinositol,PI.14.0_18.3
PI 14:0_20:4,Phosphatidylinositol,PI.14.0_20.4
PI 14:0_20:5,Phosphatidylinositol,PI.14.0_20.5
PI 15:0_16:0,Phosphatidylinositol,PI.15.0_16.0
PI 15:0_16:1,Phosphatidylinositol,PI.15.0_16.1
PI 15:0_18:0,Phosphatidylinositol,PI.15.0_18.0
PI 15:0_18:1,Phosphatidylinositol,PI.15.0_18.1
PI 15:0_18:2,Phosphatidylinositol,PI.15.0_18.2
PI 15:0_20:0,Phosphatidylinositol,PI.15.0_20.0
PI 15:0_20:1,Phosphatidylinositol,PI.15.0_20.1
PI 15:0_20:2,Phosphatidylinositol,PI.15.0_20.2
PI 15:0_20:3,Phosphatidylinositol,PI.15.0_20.3
PI 15:0_20:4,Phosphatidylinositol,PI.15.0_20.4
PI 15:0_22:0,Phosphatidylinositol,PI.15.0_22.0
PI 15:0_22:1,Phosphatidylinositol,PI.15.0_22.1
PI 15:0_22:2,Phosphatidylinositol,PI.15.0_22.2
PI 15:0_22:4,Phosphatidylinositol,PI.15.0_22.4
PI 15:0_22:5,Phosphatidylinositol,PI.15.0_22.5
PI 15:0_22:6,Phosphatidylinositol,PI.15.0_22.6
PI 16:0_16:0,Phosphatidylinositol,PI.16.0_16.0
PI 16:0_16:1,Phosphatidylinositol,PI.16.0_16.1
PI 16:0_17:0,Phosphatidylinositol,PI.16.0_17.0
PI 16:0_18:0,Phosphatidylinositol,PI.16.0_18.0
PI 16:0_18:1,Phosphatidylinositol,PI.16.0_18.1
PI 16:0_18:2,Phosphatidylinositol,PI.16.0_18.2
PI 16:0_18:3,Phosphatidylinositol,PI.16.0_18.3
PI 16:0_20:1,Phosphatidylinositol,PI.16.0_20.1
PI 16:0_20:2,Phosphatidylinositol,PI.16.0_20.2
PI 16:0_20:3,Phosphatidylinositol,PI.16.0_20.3
PI 16:0_20:4,Phosphatidylinositol,PI.16.0_20.4
PI 16:0_20:5,Phosphatidylinositol,PI.16.0_20.5
PI 16:0_22:4,Phosphatidylinositol,PI.16.0_22.4
PI 16:0_22:5,Phosphatidylinositol,PI.16.0_22.5
PI 16:0_22:6,Phosphatidylinositol,PI.16.0_22.6
PI 16:1_17:0,Phosphatidylinositol,PI.16.1_17.0
PI 16:1_18:0,Phosphatidylinositol,PI.16.1_18.0
PI 16:1_18:1,Phosphatidylinositol,PI.16.1_18.1
PI 16:1_18:2,Phosphatidylinositol,PI.16.1_18.2
PI 16:1_20:0,Phosphatidylinositol,PI.16.1_20.0
PI 17:0_18:1,Phosphatidylinositol,PI.17.0_18.1
PI 17:0_18:2,Phosphatidylinositol,PI.17.0_18.2
PI 17:0_20:0,Phosphatidylinositol,PI.17.0_20.0
PI 17:0_20:1,Phosphatidylinositol,PI.17.0_20.1
PI 17:0_20:2,Phosphatidylinositol,PI.17.0_20.2
PI 17:0_20:3,Phosphatidylinositol,PI.17.0_20.3
PI 17:0_20:4,Phosphatidylinositol,PI.17.0_20.4
PI 17:0_22:1,Phosphatidylinositol,PI.17.0_22.1
PI 17:0_22:2,Phosphatidylinositol,PI.17.0_22.2
PI 17:0_22:4,Phosphatidylinositol,PI.17.0_22.4
PI 17:0_22:5,Phosphatidylinositol,PI.17.0_22.5
PI 17:0_22:6,Phosphatidylinositol,PI.17.0_22.6
PI 18:0_18:0,Phosphatidylinositol,PI.18.0_18.0
PI 18:0_18:1,Phosphatidylinositol,PI.18.0_18.1
PI 18:0_18:2,Phosphatidylinositol,PI.18.0_18.2
PI 18:0_18:3,Phosphatidylinositol,PI.18.0_18.3
PI 18:0_20:1,Phosphatidylinositol,PI.18.0_20.1
PI 18:0_20:2,Phosphatidylinositol,PI.18.0_20.2
PI 18:0_20:3,Phosphatidylinositol,PI.18.0_20.3
PI 18:0_20:4,Phosphatidylinositol,PI.18.0_20.4
PI 18:0_20:5,Phosphatidylinositol,PI.18.0_20.5
PI 18:0_22:4,Phosphatidylinositol,PI.18.0_22.4
PI 18:0_22:5,Phosphatidylinositol,PI.18.0_22.5
PI 18:0_22:6,Phosphatidylinositol,PI.18.0_22.6
PI 18:1_18:1,Phosphatidylinositol,PI.18.1_18.1
PI 18:1_18:2,Phosphatidylinositol,PI.18.1_18.2
PI 18:1_18:3,Phosphatidylinositol,PI.18.1_18.3
PI 18:1_20:1,Phosphatidylinositol,PI.18.1_20.1
PI 18:1_20:2,Phosphatidylinositol,PI.18.1_20.2
PI 18:1_20:3,Phosphatidylinositol,PI.18.1_20.3
PI 18:1_20:4,Phosphatidylinositol,PI.18.1_20.4
PI 18:1_20:5,Phosphatidylinositol,PI.18.1_20.5
PI 18:1_22:5,Phosphatidylinositol,PI.18.1_22.5
PI 18:1_22:6,Phosphatidylinositol,PI.18.1_22.6
PI 18:2_18:2,Phosphatidylinositol,PI.18.2_18.2
PI 18:2_18:3,Phosphatidylinositol,PI.18.2_18.3
PI 18:2_20:0,Phosphatidylinositol,PI.18.2_20.0
PI 18:2_20:1,Phosphatidylinositol,PI.18.2_20.1
PI 18:2_20:2,Phosphatidylinositol,PI.18.2_20.2
PI 18:2_20:3,Phosphatidylinositol,PI.18.2_20.3
PI 18:2_20:4,Phosphatidylinositol,PI.18.2_20.4
PI 18:2_20:5,Phosphatidylinositol,PI.18.2_20.5
PI 18:2_22:6,Phosphatidylinositol,PI.18.2_22.6
PI 18:3_20:0,Phosphatidylinositol,PI.18.3_20.0
PI 20:0_20:2,Phosphatidylinositol,PI.20.0_20.2
PI 20:0_20:3,Phosphatidylinositol,PI.20.0_20.3
PI 20:0_20:4,Phosphatidylinositol,PI.20.0_20.4
PI 20:0_20:5,Phosphatidylinositol,PI.20.0_20.5
PI 20:0_22:5,Phosphatidylinositol,PI.20.0_22.5
PI 20:0_22:6,Phosphatidylinositol,PI.20.0_22.6
PS 14:0_16:0,Phosphatidylserine,PS.14.0_16.0
PS 14:0_18:1,Phosphatidylserine,PS.14.0_18.1
PS 14:0_20:1,Phosphatidylserine,PS.14.0_20.1
PS 14:0_20:2,Phosphatidylserine,PS.14.0_20.2
PS 14:0_20:5,Phosphatidylserine,PS.14.0_20.5
PS 14:0_22:4,Phosphatidylserine,PS.14.0_22.4
PS 14:0_22:5,Phosphatidylserine,PS.14.0_22.5
PS 14:0_22:6,Phosphatidylserine,PS.14.0_22.6
PS 15:0_20:0,Phosphatidylserine,PS.15.0_20.0
PS 15:0_20:1,Phosphatidylserine,PS.15.0_20.1
PS 15:0_22:2,Phosphatidylserine,PS.15.0_22.2
PS 16:0_16:0,Phosphatidylserine,PS.16.0_16.0
PS 16:0_16:1,Phosphatidylserine,PS.16.0_16.1
PS 16:0_17:0,Phosphatidylserine,PS.16.0_17.0
PS 16:0_18:0,Phosphatidylserine,PS.16.0_18.0
PS 16:0_18:1,Phosphatidylserine,PS.16.0_18.1
PS 16:0_18:2,Phosphatidylserine,PS.16.0_18.2
PS 16:0_18:3,Phosphatidylserine,PS.16.0_18.3
PS 16:0_20:1,Phosphatidylserine,PS.16.0_20.1
PS 16:0_20:2,Phosphatidylserine,PS.16.0_20.2
PS 16:0_20:3,Phosphatidylserine,PS.16.0_20.3
PS 16:0_20:4,Phosphatidylserine,PS.16.0_20.4
PS 16:0_20:5,Phosphatidylserine,PS.16.0_20.5
PS 16:0_22:4,Phosphatidylserine,PS.16.0_22.4
PS 16:0_22:5,Phosphatidylserine,PS.16.0_22.5
PS 16:0_22:6,Phosphatidylserine,PS.16.0_22.6
PS 16:1_17:0,Phosphatidylserine,PS.16.1_17.0
PS 16:1_18:0,Phosphatidylserine,PS.16.1_18.0
PS 16:1_18:1,Phosphatidylserine,PS.16.1_18.1
PS 16:1_20:0,Phosphatidylserine,PS.16.1_20.0
PS 17:0_18:0,Phosphatidylserine,PS.17.0_18.0
PS 17:0_18:1,Phosphatidylserine,PS.17.0_18.1
PS 17:0_20:0,Phosphatidylserine,PS.17.0_20.0
PS 17:0_20:1,Phosphatidylserine,PS.17.0_20.1
PS 17:0_20:2,Phosphatidylserine,PS.17.0_20.2
PS 17:0_20:3,Phosphatidylserine,PS.17.0_20.3
PS 17:0_20:4,Phosphatidylserine,PS.17.0_20.4
PS 17:0_22:0,Phosphatidylserine,PS.17.0_22.0
PS 17:0_22:1,Phosphatidylserine,PS.17.0_22.1
PS 17:0_22:2,Phosphatidylserine,PS.17.0_22.2
PS 17:0_22:4,Phosphatidylserine,PS.17.0_22.4
PS 17:0_22:5,Phosphatidylserine,PS.17.0_22.5
PS 17:0_22:6,Phosphatidylserine,PS.17.0_22.6
PS 18:0_18:0,Phosphatidylserine,PS.18.0_18.0
PS 18:0_18:1,Phosphatidylserine,PS.18.0_18.1
PS 18:0_18:2,Phosphatidylserine,PS.18.0_18.2
PS 18:0_18:3,Phosphatidylserine,PS.18.0_18.3
PS 18:0_20:0,Phosphatidylserine,PS.18.0_20.0
PS 18:0_20:1,Phosphatidylserine,PS.18.0_20.1
PS 18:0_20:2,Phosphatidylserine,PS.18.0_20.2
PS 18:0_20:3,Phosphatidylserine,PS.18.0_20.3
PS 18:0_20:4,Phosphatidylserine,PS.18.0_20.4
PS 18:0_20:5,Phosphatidylserine,PS.18.0_20.5
PS 18:0_22:4,Phosphatidylserine,PS.18.0_22.4
PS 18:0_22:5,Phosphatidylserine,PS.18.0_22.5
PS 18:0_22:6,Phosphatidylserine,PS.18.0_22.6
PS 18:1_18:1,Phosphatidylserine,PS.18.1_18.1
PS 18:1_20:0,Phosphatidylserine,PS.18.1_20.0
PS 18:1_20:1,Phosphatidylserine,PS.18.1_20.1
PS 18:1_20:2,Phosphatidylserine,PS.18.1_20.2
PS 18:1_20:4,Phosphatidylserine,PS.18.1_20.4
PS 18:1_20:5,Phosphatidylserine,PS.18.1_20.5
PS 18:1_22:4,Phosphatidylserine,PS.18.1_22.4
PS 18:1_22:5,Phosphatidylserine,PS.18.1_22.5
PS 18:1_22:6,Phosphatidylserine,PS.18.1_22.6
PS 18:2_20:1,Phosphatidylserine,PS.18.2_20.1
PS 18:2_20:2,Phosphatidylserine,PS.18.2_20.2
PS 18:2_20:5,Phosphatidylserine,PS.18.2_20.5
PS 18:2_22:6,Phosphatidylserine,PS.18.2_22.6
PS 20:0_20:1,Phosphatidylserine,PS.20.0_20.1
PS 20:0_20:2,Phosphatidylserine,PS.20.0_20.2
PS 20:0_20:4,Phosphatidylserine,PS.20.0_20.4
PS 20:0_20:5,Phosphatidylserine,PS.20.0_20.5
PS 20:0_22:4,Phosphatidylserine,PS.20.0_22.4
PS 20:0_22:5,Phosphatidylserine,PS.20.0_22.5
PS 20:0_22:6,Phosphatidylserine,PS.20.0_22.6
SM d18:1/16:0,Sphingomyelin,SM.d18.1.16.0
SM d18:1/18:0,Sphingomyelin,SM.d18.1.18.0
SM d18:1/18:1,Sphingomyelin,SM.d18.1.18.1
SM d18:1/20:0,Sphingomyelin,SM.d18.1.20.0
SM d18:1/20:1,Sphingomyelin,SM.d18.1.20.1
SM d18:1/22:0,Sphingomyelin,SM.d18.1.22.0
SM d18:1/22:1,Sphingomyelin,SM.d18.1.22.1
SM d18:1/24:0,Sphingomyelin,SM.d18.1.24.0
SM d18:1/24:1,Sphingomyelin,SM.d18.1.24.1
SM d18:1/26:0,Sphingomyelin,SM.d18.1.26.0
SM d18:1/26:1,Sphingomyelin,SM.d18.1.26.1
TG 36:0-FA12:0,Tryglyceride,TG.36.0.FA12.0
TG 40:0-FA16:0,Tryglyceride,TG.40.0.FA16.0
TG 42:0-FA12:0,Tryglyceride,TG.42.0.FA12.0
TG 42:0-FA14:0,Tryglyceride,TG.42.0.FA14.0
TG 42:0-FA16:0,Tryglyceride,TG.42.0.FA16.0
TG 42:1-FA12:0,Tryglyceride,TG.42.1.FA12.0
TG 42:1-FA14:0,Tryglyceride,TG.42.1.FA14.0
TG 42:1-FA16:0,Tryglyceride,TG.42.1.FA16.0
TG 42:1-FA16:1,Tryglyceride,TG.42.1.FA16.1
TG 44:0-FA12:0,Tryglyceride,TG.44.0.FA12.0
TG 44:0-FA14:0,Tryglyceride,TG.44.0.FA14.0
TG 44:0-FA16:0,Tryglyceride,TG.44.0.FA16.0
TG 44:1-FA12:0,Tryglyceride,TG.44.1.FA12.0
TG 44:1-FA14:0,Tryglyceride,TG.44.1.FA14.0
TG 44:1-FA14:1,Tryglyceride,TG.44.1.FA14.1
TG 44:1-FA16:0,Tryglyceride,TG.44.1.FA16.0
TG 44:1-FA16:1,Tryglyceride,TG.44.1.FA16.1
TG 44:1-FA18:1,Tryglyceride,TG.44.1.FA18.1
TG 44:2-FA12:0,Tryglyceride,TG.44.2.FA12.0
TG 44:2-FA14:0,Tryglyceride,TG.44.2.FA14.0
TG 44:2-FA16:0,Tryglyceride,TG.44.2.FA16.0
TG 44:2-FA16:1,Tryglyceride,TG.44.2.FA16.1
TG 45:0-FA14:0,Tryglyceride,TG.45.0.FA14.0
TG 45:0-FA15:0,Tryglyceride,TG.45.0.FA15.0
TG 45:0-FA16:0,Tryglyceride,TG.45.0.FA16.0
TG 45:1-FA15:0,Tryglyceride,TG.45.1.FA15.0
TG 45:1-FA16:0,Tryglyceride,TG.45.1.FA16.0
TG 46:0-FA14:0,Tryglyceride,TG.46.0.FA14.0
TG 46:0-FA16:0,Tryglyceride,TG.46.0.FA16.0
TG 46:0-FA18:0,Tryglyceride,TG.46.0.FA18.0
TG 46:1-FA12:0,Tryglyceride,TG.46.1.FA12.0
TG 46:1-FA14:0,Tryglyceride,TG.46.1.FA14.0
TG 46:1-FA14:1,Tryglyceride,TG.46.1.FA14.1
TG 46:1-FA16:0,Tryglyceride,TG.46.1.FA16.0
TG 46:1-FA16:1,Tryglyceride,TG.46.1.FA16.1
TG 46:1-FA18:0,Tryglyceride,TG.46.1.FA18.0
TG 46:1-FA18:1,Tryglyceride,TG.46.1.FA18.1
TG 46:2-FA12:0,Tryglyceride,TG.46.2.FA12.0
TG 46:2-FA14:0,Tryglyceride,TG.46.2.FA14.0
TG 46:2-FA14:1,Tryglyceride,TG.46.2.FA14.1
TG 46:2-FA16:0,Tryglyceride,TG.46.2.FA16.0
TG 46:2-FA16:1,Tryglyceride,TG.46.2.FA16.1
TG 46:2-FA18:1,Tryglyceride,TG.46.2.FA18.1
TG 46:2-FA18:2,Tryglyceride,TG.46.2.FA18.2
TG 46:3-FA12:0,Tryglyceride,TG.46.3.FA12.0
TG 46:3-FA14:0,Tryglyceride,TG.46.3.FA14.0
TG 46:3-FA14:1,Tryglyceride,TG.46.3.FA14.1
TG 46:3-FA16:0,Tryglyceride,TG.46.3.FA16.0
TG 46:3-FA16:1,Tryglyceride,TG.46.3.FA16.1
TG 46:3-FA18:1,Tryglyceride,TG.46.3.FA18.1
TG 46:3-FA18:2,Tryglyceride,TG.46.3.FA18.2
TG 46:3-FA18:3,Tryglyceride,TG.46.3.FA18.3
TG 47:0-FA14:0,Tryglyceride,TG.47.0.FA14.0
TG 47:0-FA15:0,Tryglyceride,TG.47.0.FA15.0
TG 47:0-FA16:0,Tryglyceride,TG.47.0.FA16.0
TG 47:0-FA17:0,Tryglyceride,TG.47.0.FA17.0
TG 47:1-FA14:0,Tryglyceride,TG.47.1.FA14.0
TG 47:1-FA15:0,Tryglyceride,TG.47.1.FA15.0
TG 47:1-FA16:0,Tryglyceride,TG.47.1.FA16.0
TG 47:1-FA16:1,Tryglyceride,TG.47.1.FA16.1
TG 47:1-FA17:0,Tryglyceride,TG.47.1.FA17.0
TG 47:1-FA18:1,Tryglyceride,TG.47.1.FA18.1
TG 47:2-FA14:0,Tryglyceride,TG.47.2.FA14.0
TG 47:2-FA15:0,Tryglyceride,TG.47.2.FA15.0
TG 47:2-FA16:1,Tryglyceride,TG.47.2.FA16.1
TG 47:2-FA18:1,Tryglyceride,TG.47.2.FA18.1
TG 47:2-FA18:2,Tryglyceride,TG.47.2.FA18.2
TG 48:0-FA14:0,Tryglyceride,TG.48.0.FA14.0
TG 48:0-FA16:0,Tryglyceride,TG.48.0.FA16.0
TG 48:0-FA18:0,Tryglyceride,TG.48.0.FA18.0
TG 48:1-FA12:0,Tryglyceride,TG.48.1.FA12.0
TG 48:1-FA14:0,Tryglyceride,TG.48.1.FA14.0
TG 48:1-FA14:1,Tryglyceride,TG.48.1.FA14.1
TG 48:1-FA16:0,Tryglyceride,TG.48.1.FA16.0
TG 48:1-FA16:1,Tryglyceride,TG.48.1.FA16.1
TG 48:1-FA18:0,Tryglyceride,TG.48.1.FA18.0
TG 48:1-FA18:1,Tryglyceride,TG.48.1.FA18.1
TG 48:2-FA12:0,Tryglyceride,TG.48.2.FA12.0
TG 48:2-FA14:0,Tryglyceride,TG.48.2.FA14.0
TG 48:2-FA14:1,Tryglyceride,TG.48.2.FA14.1
TG 48:2-FA16:0,Tryglyceride,TG.48.2.FA16.0
TG 48:2-FA16:1,Tryglyceride,TG.48.2.FA16.1
TG 48:2-FA18:0,Tryglyceride,TG.48.2.FA18.0
TG 48:2-FA18:1,Tryglyceride,TG.48.2.FA18.1
TG 48:2-FA18:2,Tryglyceride,TG.48.2.FA18.2
TG 48:3-FA12:0,Tryglyceride,TG.48.3.FA12.0
TG 48:3-FA14:0,Tryglyceride,TG.48.3.FA14.0
TG 48:3-FA14:1,Tryglyceride,TG.48.3.FA14.1
TG 48:3-FA16:0,Tryglyceride,TG.48.3.FA16.0
TG 48:3-FA16:1,Tryglyceride,TG.48.3.FA16.1
TG 48:3-FA18:1,Tryglyceride,TG.48.3.FA18.1
TG 48:3-FA18:2,Tryglyceride,TG.48.3.FA18.2
TG 48:3-FA18:3,Tryglyceride,TG.48.3.FA18.3
TG 48:4-FA12:0,Tryglyceride,TG.48.4.FA12.0
TG 48:4-FA14:0,Tryglyceride,TG.48.4.FA14.0
TG 48:4-FA14:1,Tryglyceride,TG.48.4.FA14.1
TG 48:4-FA16:0,Tryglyceride,TG.48.4.FA16.0
TG 48:4-FA16:1,Tryglyceride,TG.48.4.FA16.1
TG 48:4-FA18:1,Tryglyceride,TG.48.4.FA18.1
TG 48:4-FA18:2,Tryglyceride,TG.48.4.FA18.2
TG 48:4-FA18:3,Tryglyceride,TG.48.4.FA18.3
TG 48:4-FA20:4,Tryglyceride,TG.48.4.FA20.4
TG 48:5-FA18:2,Tryglyceride,TG.48.5.FA18.2
TG 48:5-FA18:3,Tryglyceride,TG.48.5.FA18.3
TG 49:0-FA15:0,Tryglyceride,TG.49.0.FA15.0
TG 49:0-FA16:0,Tryglyceride,TG.49.0.FA16.0
TG 49:0-FA17:0,Tryglyceride,TG.49.0.FA17.0
TG 49:0-FA18:0,Tryglyceride,TG.49.0.FA18.0
TG 49:1-FA14:0,Tryglyceride,TG.49.1.FA14.0
TG 49:1-FA15:0,Tryglyceride,TG.49.1.FA15.0
