ID,B_treat,L_treat,day,silo,container,length,normality
BG7,T,C,14,1,1,180.1,n
BG7,T,T,14,3,6,180.1,n
BG8,T,T,14,2,5,180.1,n
BG8,T,C,14,3,3,180.2,n
BG4,C,C,14,1,1,180.4,n
BG7,T,T,14,1,4,180.4,a
BG8,T,T,14,2,5,181,n
BG7,T,C,14,3,3,181.1,n
BG7,T,T,14,2,5,181.1,a
BG6,T,T,14,2,5,181.3,n
BG4,C,C,14,2,2,181.6,n
BG8,T,T,14,1,4,181.7,n
BG7,T,T,14,2,5,181.8,n
BG6,T,C,14,3,3,182.1,n
BG6,T,T,14,2,5,182.1,n
BG8,T,T,14,1,4,182.1,n
BG7,T,C,14,1,1,182.2,n
BG8,T,T,14,2,5,182.4,n
BG8,T,T,14,2,5,182.5,n
BG8,T,C,14,1,1,182.6,n
BG4,C,C,14,1,1,183.3,n
BG4,C,C,14,1,1,183.3,n
BG7,T,T,14,3,6,183.3,n
BG3,C,C,14,1,1,183.4,n
BG8,T,T,14,1,4,183.4,n
BG8,T,T,14,1,4,183.6,n
BG8,T,T,14,1,4,183.6,n
BG6,T,C,14,2,2,183.8,n
BG6,T,C,14,3,3,183.8,n
BG7,T,T,14,1,4,183.9,n
BG8,T,T,14,1,4,183.9,n
BG6,T,C,14,2,2,184.1,n
BG6,T,T,14,2,5,184.3,n
BG6,T,C,14,3,3,184.4,n
BG7,T,T,14,1,4,184.4,n
BG4,C,C,14,3,3,184.5,n
BG6,T,C,14,3,3,184.5,n
BG7,T,C,14,3,3,184.5,n
BG7,T,C,14,3,3,184.5,n
BG7,T,T,14,2,5,184.5,n
BG4,C,C,14,2,2,184.7,n
BG8,T,C,14,1,1,184.8,n
BG9,T,C,14,3,3,184.8,n
BG8,T,T,14,1,4,184.9,n
BG7,T,T,14,2,5,185.1,n
BG9,T,C,14,3,3,185.1,n
BG3,C,C,14,1,1,185.2,n
BG4,C,C,14,1,1,185.2,n
BG7,T,T,14,2,5,185.2,n
BG7,T,T,14,1,4,185.3,a
BG9,T,C,14,3,3,185.4,n
BG6,T,C,14,2,2,185.5,n
BG3,C,C,14,1,1,185.6,n
BG7,T,C,14,1,1,185.7,n
BG7,T,T,14,1,4,185.7,n
BG4,C,C,14,2,2,185.8,n
BG8,T,T,14,1,4,185.9,n
BG6,T,C,14,3,3,186.4,n
BG8,T,C,14,3,3,186.4,n
BG8,T,C,14,3,3,186.5,a
BG8,T,T,14,1,4,186.7,n
BG4,C,C,14,3,3,186.9,n
BG4,C,C,14,3,3,187,n
BG9,T,C,14,1,1,187,n
BG8,T,T,14,1,4,187.2,n
BG6,T,T,14,2,5,187.3,n
BG6,T,C,14,2,2,187.4,n
BG9,T,C,14,3,3,187.5,n
BG8,T,T,14,1,4,187.6,n
BG6,T,T,14,2,5,187.7,n
BG9,T,C,14,3,3,187.7,n
BG9,T,C,14,3,3,187.9,n
BG7,T,T,14,1,4,188.4,n
BG4,C,C,14,1,1,188.6,n
BG7,T,C,14,1,1,188.8,n
BG8,T,T,14,1,4,189,n
BG4,C,C,14,3,3,189.1,n
BG6,T,C,14,3,3,189.1,n
BG9,T,C,14,3,3,189.2,n
BG7,T,C,14,3,3,189.5,n
BG3,C,C,14,1,1,189.7,n
BG7,T,C,14,3,3,189.7,n
BG8,T,T,14,1,4,189.8,n
BG7,T,C,14,1,1,189.9,n
BG8,T,T,14,1,4,190,n
BG9,T,C,14,1,1,190,n
BG6,T,T,14,2,5,190.1,n
BG7,T,C,14,1,1,190.1,n
BG4,C,C,14,1,1,190.5,n
BG7,T,T,14,1,4,190.5,a
BG9,T,C,14,3,3,190.8,n
BG7,T,C,14,1,1,190.9,n
BG7,T,C,14,1,1,191.1,n
BG8,T,C,14,1,1,191.1,n
BG3,C,C,14,1,1,191.3,n
BG7,T,C,14,3,3,191.3,n
BG9,T,C,14,1,1,191.3,n
BG7,T,T,14,1,4,191.6,a
BG9,T,C,14,1,1,191.7,n
BG9,T,C,14,2,2,191.8,n
BG6,T,C,14,3,3,191.9,n
BG4,C,C,14,3,3,192.1,n
BG4,C,C,14,3,3,192.1,n
BG8,T,T,14,1,4,192.1,n
BG7,T,C,14,3,3,192.4,n
BG8,T,C,14,1,1,192.4,n
BG9,T,C,14,2,2,192.4,n
BG6,T,C,14,3,3,192.5,n
BG9,T,C,14,2,2,192.5,n
BG8,T,C,14,1,1,192.6,n
BG7,T,C,14,3,3,192.7,n
BG7,T,T,14,1,4,192.8,n
BG8,T,C,14,3,3,192.8,n
BG4,C,C,14,2,2,192.9,n
BG4,C,C,14,3,3,192.9,n
BG4,C,C,14,2,2,193.2,n
BG9,T,C,14,3,3,193.2,n
BG7,T,T,14,1,4,193.4,n
BG9,T,C,14,3,3,193.4,n
BG8,T,C,14,1,1,193.6,n
BG8,T,C,14,1,1,193.6,n
BG4,C,C,14,1,1,193.7,n
BG8,T,C,14,3,3,193.7,n
BG9,T,C,14,2,2,193.8,n
BG6,T,C,14,2,2,193.9,n
BG8,T,T,14,1,4,194,n
BG7,T,C,14,1,1,194.4,n
BG9,T,C,14,3,3,194.4,n
BG7,T,T,14,2,5,194.6,n
BG4,C,C,14,2,2,194.8,n
BG3,C,C,14,1,1,195,n
BG4,C,C,14,3,3,195,n
BG6,T,T,14,2,5,195,a
BG8,T,T,14,2,5,195,n
BG8,T,T,14,2,5,195,n
BG9,T,C,14,2,2,195.1,n
BG7,T,T,14,3,6,195.2,n
BG9,T,C,14,2,2,195.2,n
BG9,T,C,14,2,2,195.2,n
BG9,T,C,14,2,2,195.5,n
BG4,C,C,14,2,2,195.6,n
BG7,T,T,14,1,4,195.8,n
BG7,T,C,14,1,1,196,n
BG8,T,C,14,1,1,196,n
BG8,T,C,14,3,3,196,n
